,Open,High,Low,Close,Volume
30/08/2021,149,153.490005,148.610001,153.119995,90956700
31/08/2021,152.660004,152.800003,151.289993,151.830002,86453100
1/09/2021,152.830002,154.979996,152.339996,152.509995,80313700
2/09/2021,153.869995,154.720001,152.399994,153.649994,71115500
3/09/2021,153.759995,154.630005,153.089996,154.300003,57808700
7/09/2021,154.970001,157.259995,154.389999,156.690002,82278300
8/09/2021,156.979996,157.039993,153.979996,155.110001,74420200
9/09/2021,155.490005,156.110001,153.949997,154.070007,57305700
10/09/2021,155,155.479996,148.699997,148.970001,140893200
13/09/2021,150.630005,151.419998,148.75,149.550003,102404300
14/09/2021,150.350006,151.070007,146.910004,148.119995,109296300
15/09/2021,148.559998,149.440002,146.369995,149.029999,83281300
16/09/2021,148.440002,148.970001,147.220001,148.789993,68034100
17/09/2021,148.820007,148.820007,145.759995,146.059998,129868800
20/09/2021,143.800003,144.839996,141.270004,142.940002,123478900
21/09/2021,143.929993,144.600006,142.779999,143.429993,75834000
22/09/2021,144.449997,146.429993,143.699997,145.850006,76404300
23/09/2021,146.649994,147.080002,145.639999,146.830002,64838200
24/09/2021,145.660004,147.470001,145.559998,146.919998,53477900
27/09/2021,145.470001,145.960007,143.820007,145.369995,74150700
28/09/2021,143.25,144.75,141.690002,141.910004,108972300
29/09/2021,142.470001,144.449997,142.029999,142.830002,74602000
30/09/2021,143.660004,144.380005,141.279999,141.5,89056700
1/10/2021,141.899994,142.919998,139.110001,142.649994,94639600
4/10/2021,141.759995,142.210007,138.270004,139.139999,98322000
5/10/2021,139.490005,142.240005,139.360001,141.110001,80861100
6/10/2021,139.470001,142.149994,138.369995,142,83221100
7/10/2021,143.059998,144.220001,142.720001,143.289993,61732700
8/10/2021,144.029999,144.179993,142.559998,142.899994,58773200
11/10/2021,142.270004,144.809998,141.809998,142.809998,64452200
12/10/2021,143.229996,143.25,141.039993,141.509995,73035900
13/10/2021,141.240005,141.399994,139.199997,140.910004,78762700
14/10/2021,142.110001,143.880005,141.509995,143.759995,69907100
15/10/2021,143.770004,144.899994,143.509995,144.839996,67940300
18/10/2021,143.449997,146.839996,143.160004,146.550003,85589200
19/10/2021,147.009995,149.169998,146.550003,148.759995,76378900
20/10/2021,148.699997,149.75,148.119995,149.259995,58418800
21/10/2021,148.809998,149.639999,147.869995,149.479996,61421000
22/10/2021,149.690002,150.179993,148.639999,148.690002,58883400
25/10/2021,148.679993,149.369995,147.619995,148.639999,50720600
26/10/2021,149.330002,150.839996,149.009995,149.320007,60893400
27/10/2021,149.360001,149.729996,148.490005,148.850006,56094900
28/10/2021,149.820007,153.169998,149.720001,152.570007,100077900
29/10/2021,147.220001,149.940002,146.410004,149.800003,124953200
1/11/2021,148.990005,149.699997,147.800003,148.960007,74588300
2/11/2021,148.660004,151.570007,148.649994,150.020004,69122000
3/11/2021,150.389999,151.970001,149.820007,151.490005,54511500
4/11/2021,151.580002,152.429993,150.639999,150.960007,60394600
5/11/2021,151.889999,152.199997,150.059998,151.279999,65463900
8/11/2021,151.410004,151.570007,150.160004,150.440002,55020900
9/11/2021,150.199997,151.429993,150.059998,150.809998,56787900
10/11/2021,150.020004,150.130005,147.850006,147.919998,65187100
11/11/2021,148.960007,149.429993,147.679993,147.869995,41000000
12/11/2021,148.429993,150.399994,147.479996,149.990005,63804000
15/11/2021,150.369995,151.880005,149.429993,150,59222800
16/11/2021,149.940002,151.490005,149.339996,151,59256200
17/11/2021,151,155,150.990005,153.490005,88807000
18/11/2021,153.710007,158.669998,153.050003,157.869995,137827700
19/11/2021,157.649994,161.020004,156.529999,160.550003,117305600
22/11/2021,161.679993,165.699997,161,161.020004,117467900
23/11/2021,161.119995,161.800003,159.059998,161.410004,96041900
24/11/2021,160.75,162.139999,159.639999,161.940002,69463600
26/11/2021,159.570007,160.449997,156.360001,156.809998,76959800
29/11/2021,159.369995,161.190002,158.789993,160.240005,88748200
30/11/2021,159.990005,165.520004,159.919998,165.300003,174048100
1/12/2021,167.479996,170.300003,164.529999,164.770004,152052500
2/12/2021,158.740005,164.199997,157.800003,163.759995,136739200
3/12/2021,164.020004,164.960007,159.720001,161.839996,118023100
6/12/2021,164.289993,167.880005,164.279999,165.320007,107497000
7/12/2021,169.080002,171.580002,168.339996,171.179993,120405400
8/12/2021,172.130005,175.960007,170.699997,175.080002,116998900
9/12/2021,174.910004,176.75,173.919998,174.559998,108923700
10/12/2021,175.210007,179.630005,174.690002,179.449997,115402700
13/12/2021,181.119995,182.130005,175.529999,175.740005,153237000
14/12/2021,175.25,177.740005,172.210007,174.330002,139380400
