open_time,Open,High,Low,Close,Volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.65663E+12,19923.3,19958.4,19668.5,19708.9,14308.415,1.65663E+12,283129469.8,74923,5585.817,110552023.5,0
1.65663E+12,19708.9,19814.8,19649.5,19763.4,7977.037,1.65663E+12,157381737.1,51553,4420.616,87230608.03,0
1.65663E+12,19763.8,19800,19693.8,19710,4347.893,1.65663E+12,85844281.85,30653,1642.635,32434621.36,0
1.65663E+12,19710.1,19800,19687.2,19784.1,4511.075,1.65663E+12,89058213.14,33049,2665.702,52637433.39,0
1.65663E+12,19784.2,19797.8,19732.2,19734,2249.565,1.65664E+12,44451164.07,18156,1003.997,19841242.25,0
1.65664E+12,19733.9,20780,19732.5,20479.4,31622.121,1.65664E+12,638992129,138416,20949.75,423216733.3,0
1.65664E+12,20479.4,20926.4,20426.8,20580.1,25304.38,1.65664E+12,522607941.7,122562,12961.554,267837744,0
1.65664E+12,20580.1,20593.9,20361,20373.5,12882.333,1.65664E+12,263717898.8,74225,5497.525,112562368.2,0
1.65664E+12,20373.6,20488,20362.2,20403.7,7108.616,1.65664E+12,145184846,44968,3901.7,79700317.46,0
1.65664E+12,20405.7,20500,20390,20418.1,5930.875,1.65664E+12,121209464.8,39093,3199.102,65391879.5,0
1.65664E+12,20418.9,20428,20324.9,20375,4742.991,1.65664E+12,96687486.49,34373,2108.9,42998618.64,0
1.65664E+12,20375.1,20404.8,20250.4,20288.9,5887.082,1.65664E+12,119585509.7,40884,2405.302,48848364.06,0
1.65664E+12,20289,20381.5,20250.1,20339.6,5318.575,1.65664E+12,108021943.8,37505,2829.859,57485228.96,0
1.65664E+12,20339.5,20438.1,20329.6,20329.6,5598.948,1.65664E+12,114102039.3,32287,2970.723,60556557.67,0
1.65664E+12,20329.6,20345,20267.7,20292.2,3467.56,1.65664E+12,70387020.07,24884,1492.83,30299854.45,0
1.65664E+12,20292.2,20358,20253.1,20331.3,3691.935,1.65664E+12,74974504.43,26266,2191.941,44521260.22,0
1.65664E+12,20331.4,20381.1,20303,20303.2,3326.69,1.65664E+12,67672499.72,20400,1661.028,33795037.94,0
1.65664E+12,20303,20384.3,20301.5,20382.2,2421.55,1.65664E+12,49269666.62,18235,1492.906,30376068.21,0
1.65664E+12,20382.1,20384.2,20280,20300.8,2493.254,1.65664E+12,50655226.79,20190,911.394,18513885.02,0
1.65664E+12,20300.9,20411.9,20290,20396.6,2044.374,1.65664E+12,41594243.81,16491,1354.736,27569349.82,0
1.65664E+12,20396.7,20477.1,20379,20413.4,6507.768,1.65664E+12,132954855.2,33055,4020.974,82153075.95,0
1.65664E+12,20413.4,20429.2,20370,20394,2453.442,1.65664E+12,50048169.05,17539,900.964,18378207.31,0
1.65664E+12,20394.1,20434.3,20390,20417.3,2104.891,1.65664E+12,42957795.3,14428,955.951,19511846.4,0
1.65664E+12,20417.2,20429.9,20372.6,20411.5,1762.909,1.65664E+12,35959560.57,13795,682.277,13917530.77,0
1.65664E+12,20411.4,20420,20358.3,20365.7,2474.426,1.65664E+12,50449258.74,18413,999.949,20387943.73,0
1.65664E+12,20365.6,20434.4,20344.1,20422.3,2222.09,1.65664E+12,45298901.84,18964,1205.118,24571075.5,0
1.65664E+12,20422.4,20554.7,20400,20485.8,4356.146,1.65664E+12,89207556.44,28986,2788.601,57119460.4,0
1.65664E+12,20485.7,20493,20440.1,20452.1,2177.716,1.65664E+12,44560637.88,16944,880,18008537.39,0
1.65664E+12,20452.1,20452.2,20393.7,20420.9,2058.601,1.65664E+12,42028259.59,15925,826.267,16868550.26,0
1.65664E+12,20420.9,20454.9,20372.1,20382.1,2011.014,1.65664E+12,41037560.57,15242,917.81,18729610.26,0
1.65664E+12,20382,20390,20315.4,20333,2739.081,1.65664E+12,55719919.59,19420,969.829,19728930.65,0
1.65664E+12,20333,20342.4,20311,20327.4,1747.738,1.65664E+12,35528513.64,13391,866.854,17622338.71,0
1.65664E+12,20327.5,20341.9,20300.8,20328,1617.642,1.65664E+12,32878423.48,13092,760.779,15464524.97,0
1.65664E+12,20328,20337,20265.7,20284,2461.298,1.65664E+12,49949534.8,17213,985.881,20008490.96,0
1.65664E+12,20284,20347.4,20260,20333,3796.271,1.65664E+12,77065912.83,20331,2244.714,45570372.24,0
1.65664E+12,20333.1,20337.3,20268.3,20292.4,2228.991,1.65664E+12,45246253.72,14393,832.417,16899992.33,0
1.65664E+12,20292.5,20304,20210,20250,2523.574,1.65664E+12,51128041.84,19280,1019.079,20652253.23,0
1.65664E+12,20249.9,20259.3,20120.1,20203.7,5269.463,1.65664E+12,106436828.9,30051,1901.396,38419111.93,0
1.65665E+12,20204.6,20223.1,20120.2,20190.9,3679.099,1.65665E+12,74225451.78,23492,2112.579,42617396.76,0
1.65665E+12,20190.5,20212.3,20162.4,20178,2393.897,1.65665E+12,48329883.52,17792,1316.579,26581046.55,0
1.65665E+12,20178,20203.9,20085.3,20135.4,3857.467,1.65665E+12,77667520.81,25634,1617.048,32564319.56,0
1.65665E+12,20135,20170.3,20079,20126.2,2552.981,1.65665E+12,51357362.61,21329,1349.198,27146891.77,0
1.65665E+12,20126.3,20150,20055.6,20118.3,3686.904,1.65665E+12,74112973.65,22809,1811.711,36431703.76,0
1.65665E+12,20118.3,20165,20118.2,20150.9,2373.342,1.65665E+12,47795033.64,15723,1304.878,26280487.35,0
1.65665E+12,20150.9,20154.7,20083,20100.1,1838.617,1.65665E+12,36981893.75,15190,756.897,15225454.78,0
1.65665E+12,20100,20122.9,20094.7,20117.9,1213.617,1.65665E+12,24405005.53,10605,673.505,13544683.76,0
1.65665E+12,20118,20118,19801.6,19822.8,17859.884,1.65665E+12,355897883.4,78422,6265.118,124763962.1,0
1.65665E+12,19822.8,19823.8,19670.5,19720.1,11499.565,1.65665E+12,227079267.5,63412,5463.433,107889236.2,0
1.65665E+12,19720.6,19743.8,19567.1,19609.9,10045.535,1.65665E+12,197504550.8,60099,4439.362,87301770.79,0
1.65665E+12,19608.9,19661.4,19514.4,19625.1,8389.377,1.65665E+12,164403996.2,49478,4548.132,89152003.09,0
1.65665E+12,19625.1,19634,19543.8,19580.3,3647.246,1.65665E+12,71445406.89,27290,1766.371,34605094.65,0
1.65665E+12,19580.3,19600,19536.9,19560.1,4087.225,1.65665E+12,79999254.96,26760,2381.136,46613047.65,0
1.65665E+12,19559.9,19588.1,19535.9,19558.2,3325.269,1.65665E+12,65055668.21,21526,1610.574,31511914.09,0
1.65665E+12,19558.1,19573.4,19529.3,19553.3,2659.748,1.65665E+12,52010584.94,17124,1283.052,25092084.68,0
1.65665E+12,19553.3,19748.5,19545.1,19672.6,10004.612,1.65665E+12,196743332.9,51870,6365.89,125196268.2,0
1.65665E+12,19672.6,19717.7,19576.2,19602.9,4277.15,1.65665E+12,84088975.23,30742,1865.764,36695040.49,0
1.65665E+12,19603,19622,19574.8,19599.3,2364.667,1.65665E+12,46343468.41,20185,1165.353,22840823.29,0
1.65665E+12,19599.3,19611,19350.8,19380.3,10269.862,1.65665E+12,199789993.8,55485,3720.676,72376523.24,0
1.65665E+12,19380.3,19466.5,19370.4,19425.3,4730.242,1.65665E+12,91854954.77,33717,2717.079,52763615.31,0
1.65665E+12,19425.3,19457.3,19386.2,19399.7,2749.222,1.65665E+12,53360086.96,21031,1286.064,24961263.99,0
1.65665E+12,19399.8,19427.2,19373.7,19377.8,3677.902,1.65665E+12,71359209.01,24807,1739.866,33761881.14,0
1.65665E+12,19377.8,19431.4,19372.4,19417.1,2647.93,1.65665E+12,51379807.45,20055,1561.338,30297821.28,0
1.65665E+12,19417,19427.1,19320,19418.5,3791.034,1.65665E+12,73460308.29,26874,1900.611,36842487.69,0
1.65665E+12,19417.9,19427,19362,19381.3,2167.533,1.65665E+12,42037699.11,18701,1120.028,21723061.46,0
1.65665E+12,19382.1,19564,19303,19493.6,8137.698,1.65665E+12,158148971.8,43313,5043.527,98076073.45,0
1.65665E+12,19493.6,19518.7,19449,19456.1,3771.117,1.65665E+12,73463829.66,26125,1959.051,38165785.09,0
