Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy Volume,Taker Buy quote asset volume,
1.65897E+12,22954.31,23006.01,22911.19,22930.04,1198.47309,1.65897E+12,27525889.41,31392,647.57428,14876120.6,0
1.65897E+12,22930.04,23062.9,22908.17,22925.82,1493.36129,1.65897E+12,34309822.26,37067,771.92212,17737038.21,0
1.65897E+12,22925.82,22931.46,22852.29,22869.39,957.8764,1.65897E+12,21928475.99,28143,460.21542,10535895.59,0
1.65897E+12,22871.68,22896.96,22842.27,22857.21,617.15878,1.65897E+12,14120064.32,20356,306.08225,7003359.514,0
1.65897E+12,22854.18,22877.19,22832.4,22844.9,682.68809,1.65897E+12,15602202.12,20704,324.93782,7426696.562,0
1.65897E+12,22844.9,22858.11,22800,22807.08,618.14808,1.65897E+12,14113101.79,20151,274.4018,6265896.485,0
1.65897E+12,22807.08,22863.17,22800,22851.9,607.99224,1.65897E+12,13877456.51,20125,329.33185,7517604.614,0
1.65897E+12,22851.89,22853.21,22800.96,22828.05,377.9283,1.65897E+12,8626585.709,15356,194.99877,4451234.473,0
1.65897E+12,22828.95,22830.49,22751.95,22759.35,663.56469,1.65897E+12,15118130.62,20609,299.13366,6815533.602,0
1.65897E+12,22758.09,22848.42,22754.85,22830.54,591.46028,1.65897E+12,13481836.26,18493,315.92482,7202393.144,0
1.65897E+12,22830.47,22837.3,22785.6,22793.77,441.52265,1.65897E+12,10071389.93,16861,207.61921,4736181.384,0
1.65897E+12,22793.77,22807.24,22778.23,22785.32,430.19475,1.65897E+12,9805628.135,14702,192.66163,4391530.962,0
1.65897E+12,22785.34,22801.81,22753.24,22760.77,422.74166,1.65897E+12,9626459.774,16392,197.75479,4503273.68,0
1.65897E+12,22760.77,22776.41,22753,22756.38,330.21238,1.65897E+12,7517089.593,13952,154.98866,3528305.867,0
1.65897E+12,22756.38,22758.8,22719.02,22725.92,479.62349,1.65897E+12,10905491.58,18612,234.81503,5339247.347,0
1.65897E+12,22725.92,22783.06,22717.27,22774.19,525.53913,1.65897E+12,11958544.76,17603,285.90986,6505439.591,0
1.65897E+12,22774.19,22777.41,22755.06,22762.16,307.84827,1.65897E+12,7008800.776,12983,154.49661,3517546.888,0
1.65897E+12,22761.42,22776.36,22741.96,22749.97,438.58023,1.65897E+12,9980187.987,15091,211.01402,4801797.273,0
1.65897E+12,22749.97,22787.46,22741.69,22766.89,538.44647,1.65897E+12,12258576.72,16371,284.26722,6471912.134,0
1.65897E+12,22767.11,22774.65,22746.91,22761.28,304.19143,1.65897E+12,6923085.769,12723,159.76965,3636341.182,0
1.65897E+12,22761.28,22786.27,22743.37,22762.59,422.44762,1.65897E+12,9615985.09,14531,241.05189,5487374.897,0
1.65897E+12,22762.6,22785,22758.16,22766.52,281.19141,1.65897E+12,6402002.81,11597,146.30541,3331131.937,0
1.65897E+12,22766.52,22782.47,22739.89,22779.52,388.37923,1.65897E+12,8840471.318,13970,193.99983,4416204.727,0
1.65897E+12,22779.51,22784.56,22751.61,22775.69,313.27806,1.65897E+12,7132984.781,12825,159.78628,3638306.218,0
1.65897E+12,22775.69,22781.28,22743.61,22750.08,263.38552,1.65897E+12,5994655.519,11552,122.99065,2799386.405,0
1.65897E+12,22749.74,22758.49,22701.44,22729.74,417.56041,1.65897E+12,9493233.788,14591,196.64591,4470985.169,0
1.65897E+12,22729.74,22768.97,22725.44,22744.1,294.99612,1.65897E+12,6711536.746,12072,150.61869,3426877.624,0
1.65897E+12,22744.1,22759.26,22730.31,22737.49,303.33326,1.65897E+12,6898848.077,12429,149.82227,3407557.414,0
1.65897E+12,22738.62,22743.88,22722.37,22728.85,228.88496,1.65898E+12,5203930.639,10899,101.15972,2300057.887,0
1.65898E+12,22728.85,22746.48,22725,22734.84,294.92319,1.65898E+12,6704553.897,11820,148.8519,3383966.841,0
1.65898E+12,22733.99,22782,22732.36,22776.57,338.34334,1.65898E+12,7700330.715,13867,195.90435,4458494.431,0
1.65898E+12,22778.22,22839.57,22776.54,22823.42,833.11941,1.65898E+12,19004394.42,22973,431.96493,9853803.038,0
1.65898E+12,22823.42,22957.88,22793.23,22938.07,1208.53284,1.65898E+12,27652225.21,29405,675.20367,15451601.74,0
1.65898E+12,22940.96,23437,22937.81,23391.28,5580.69536,1.65898E+12,129570253.4,85657,2443.09605,56761439.67,0
1.65898E+12,23392.36,23460.58,23340.28,23417.45,1878.87002,1.65898E+12,43961775.64,46711,992.23294,23217532.41,0
1.65898E+12,23411.44,23417.47,23259.16,23282.54,2265.292,1.65898E+12,52804839.74,42513,1275.39797,29728861.36,0
