,Open,High,Low,Close,Volume,,Quote Asset Volume,Number of Trades,Taker buy Volume,Taker Buy quote asset volume,
1.66E+12,19942.21,20918.35,18975,19279.8,111844.5949,1.66E+12,2197016370,1668363,56417.61783,1108492422,0
1.66E+12,19279.8,19467.39,18977.01,19252.81,46180.3021,1.66E+12,888415536.9,833508,23693.90779,455851305.4,0
1.66E+12,19252.82,19647.63,18781,19315.83,51087.46631,1.66E+12,980255891.4,880786,25361.96292,486752875.4,0
1.66E+12,19315.83,20354.01,19055.31,20236.71,74814.04601,1.66E+12,1470987696,1282843,38543.72441,758241532,0
1.66E+12,20236.71,20750,19304.4,20175.83,96041.13756,1.66E+12,1919950110,1612273,48358.47507,967109793.4,0
1.66E+12,20175.84,20675.22,19761.25,20564.51,82439.5808,1.66E+12,1665481948,1472221,41580.73433,840150579.6,0
1.66E+12,20564.51,21838.1,20251.68,21624.98,85014.58261,1.66E+12,1783224086,1653722,42731.5372,896703207.2,0
1.66E+12,21624.99,22527.37,21189.26,21594.75,403081.5735,1.66E+12,8781330157,4358216,201798.1014,4396546053,0
1.66E+12,21594.75,21980,21322.12,21591.83,178417.8447,1.66E+12,3857190523,3524386,89418.01811,1933132016,0
1.66E+12,21592.15,21607.65,20655,20862.47,192188.2156,1.66E+12,4062794310,3434401,95376.75351,2016291891,0
1.66E+12,20861.11,20868.48,19875.23,19963.61,137535.4072,1.66E+12,2813718031,3232941,66869.47065,1368289523,0
1.66E+12,19963.61,20059.42,19240,19328.75,139506.4586,1.66E+12,2754215439,3626399,67681.11612,1336338003,0
1.66E+12,19331.28,20366.61,18910.94,20234.87,209250.2489,1.66E+12,4096306064,4789109,103667.1351,2029863027,0
1.66E+12,20234.87,20900,19616.07,20588.84,174809.217,1.66E+12,3526210098,4576355,87993.05801,1775442258,0
1.66E+12,20588.84,21200,20382.29,20830.04,143343.3049,1.66E+12,2984339734,4411375,71354.9491,1485929119,0
1.66E+12,20830.04,21588.94,20478.61,21195.6,121011.6739,1.66E+12,2539616923,3723401,61225.46264,1285100232,0
1.66E+12,21195.6,21684.54,20750.01,20798.16,118229.4525,1.66E+12,2511251393,4261057,59550.95291,1265042502,0
1.66E+12,20799.58,22777.63,20762.45,22432.58,239942.7313,1.66E+12,5263396812,6564387,122398.3186,2685273104,0
1.66E+12,22432.58,23800,21579.54,23396.62,263770.7657,1.66E+12,5954419902,6488375,132874.4341,2999605957,0
1.66E+12,23398.48,24276.74,22906.19,23223.3,238762.1709,1.66E+12,5631801151,6364038,119820.5535,2826789486,0
1.66E+12,23223.3,23442.77,22341.46,23152.19,184817.6819,1.66E+12,4232411759,4808194,92958.794,2128895624,0
1.66E+12,23152.19,23756.49,22500,22684.83,171598.4397,1.66E+12,3981394766,4745582,85026.96828,1973166658,0
1.66E+12,22684.83,23000.77,21934.57,22451.07,122137.7738,1.66E+12,2745262661,3762227,61569.86415,1383868861,0
1.66E+12,22448.58,23014.64,22257.15,22579.68,115189.6728,1.66E+12,2610817967,3671238,58086.99433,1316724597,0
1.66E+12,22577.13,22666,21250,21310.9,180344.7664,1.66E+12,3954002949,4807238,88021.9456,1930051719,0
1.66E+12,21310.9,21347.82,20706.5,21254.67,177817.2433,1.66E+12,3738774849,4545385,87353.4604,1836821500,0
1.66E+12,21254.67,23112.63,21042.53,22952.45,210971.198,1.66E+12,4614909657,5475738,106519.1274,2330764841,0
1.66E+12,22954.31,24199.72,22582.13,23842.93,236029.0741,1.66E+12,5511388548,6500034,118170.7095,2759524239,0
1.66E+12,23845.25,24442.66,23414.03,23773.75,198298.5062,1.66E+12,4733780641,6221401,100165.6085,2391310897,0
1.66E+12,23777.28,24668,23502.25,23643.51,151060.1321,1.66E+12,3634601095,4801528,75778.59282,1823456272,0
1.66E+12,23644.64,24194.82,23227.31,23293.32,127743.3248,1.66E+12,3028386331,4463721,63737.43859,1511326027,0
